               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.01994,           0.0076012,           0.0097996,             0.97108,              0.9504,             0.98023,             0.75643,            0.016943,           0.0024284,           0.0059063,            0.070013,           0.0033319,           0.0033319
                   1,            0.023301,           0.0079331,            0.011117,             0.95514,             0.95682,             0.97636,             0.76201,            0.019132,           0.0025644,           0.0065977,            0.039881,           0.0065332,           0.0065332
                   2,            0.026727,           0.0085144,            0.015472,             0.92067,             0.91778,             0.95096,             0.71263,            0.021272,           0.0029023,           0.0096446,           0.0096174,           0.0096026,           0.0096026
                   3,            0.028866,           0.0093142,            0.020042,             0.93671,             0.91988,             0.95611,             0.71147,            0.021784,           0.0029008,           0.0086069,            0.009406,            0.009406,            0.009406
                   4,            0.028696,           0.0092144,            0.019923,             0.93946,             0.91654,             0.95405,             0.71852,            0.021524,            0.002877,           0.0090822,            0.009406,            0.009406,            0.009406
                   5,            0.028136,           0.0090521,            0.018978,             0.94487,             0.93112,              0.9673,              0.7443,            0.020162,           0.0028171,           0.0081658,            0.009208,            0.009208,            0.009208
                   6,            0.028192,             0.00905,            0.018492,             0.94181,             0.93055,             0.96419,             0.73189,            0.019867,           0.0027893,           0.0073871,             0.00901,             0.00901,             0.00901
                   7,            0.027704,           0.0090287,            0.017997,             0.95371,             0.93385,             0.96396,             0.73544,            0.019521,            0.002755,           0.0091554,            0.008812,            0.008812,            0.008812
                   8,            0.027465,           0.0089064,            0.017566,             0.95613,              0.9281,             0.96384,             0.74746,            0.018574,           0.0027219,           0.0085113,            0.008614,            0.008614,            0.008614
                   9,            0.027061,           0.0088386,            0.017087,             0.96147,             0.92977,             0.96983,             0.75093,             0.01844,           0.0026796,            0.007642,            0.008416,            0.008416,            0.008416
                  10,            0.026986,           0.0088218,            0.016647,             0.95765,             0.94423,             0.97072,             0.76279,            0.017557,           0.0026606,           0.0071809,            0.008218,            0.008218,            0.008218
                  11,            0.026633,           0.0087921,            0.016251,             0.96091,             0.94006,             0.97157,             0.76891,            0.017395,           0.0025841,            0.007043,             0.00802,             0.00802,             0.00802
                  12,            0.026299,           0.0087085,            0.015888,             0.95771,             0.94766,             0.97384,             0.77343,            0.016911,           0.0026035,           0.0075154,            0.007822,            0.007822,            0.007822
                  13,            0.026252,           0.0087178,            0.015697,             0.95787,             0.94086,             0.97217,             0.76644,            0.017082,           0.0026257,           0.0068849,            0.007624,            0.007624,            0.007624
                  14,            0.025838,           0.0085947,            0.015477,             0.96112,              0.9538,             0.97422,             0.77721,            0.016647,           0.0025701,           0.0070608,            0.007426,            0.007426,            0.007426
                  15,            0.025761,           0.0086006,            0.015099,             0.96881,             0.94626,             0.97531,             0.77874,            0.016534,           0.0025572,           0.0067675,            0.007228,            0.007228,            0.007228
                  16,            0.025887,           0.0086631,            0.014714,             0.96718,             0.94291,             0.97666,             0.78005,            0.016191,           0.0025468,           0.0067322,             0.00703,             0.00703,             0.00703
                  17,            0.025405,           0.0085998,            0.014958,             0.96537,             0.94894,             0.97902,             0.77982,            0.015987,           0.0025278,           0.0060625,            0.006832,            0.006832,            0.006832
                  18,             0.02521,           0.0085304,            0.014349,               0.966,             0.94987,             0.97863,             0.78052,            0.015872,           0.0025075,           0.0061781,            0.006634,            0.006634,            0.006634
                  19,            0.024967,           0.0084728,            0.013905,             0.96376,             0.95791,             0.97832,             0.78281,            0.015653,           0.0024992,           0.0061191,            0.006436,            0.006436,            0.006436
                  20,            0.024795,           0.0084006,            0.013694,             0.96376,              0.9523,             0.97804,              0.7847,             0.01566,           0.0024759,           0.0065247,            0.006238,            0.006238,            0.006238
                  21,            0.024726,           0.0084079,            0.013564,             0.96371,             0.95233,             0.97766,             0.78575,            0.015338,           0.0024718,            0.006318,             0.00604,             0.00604,             0.00604
                  22,            0.024414,            0.008423,            0.013171,               0.964,             0.95451,             0.97937,             0.78881,             0.01514,           0.0024521,           0.0059992,            0.005842,            0.005842,            0.005842
                  23,            0.024271,           0.0083504,            0.012993,             0.96394,             0.95706,             0.97947,             0.78518,            0.015109,           0.0024548,           0.0058879,            0.005644,            0.005644,            0.005644
                  24,            0.024239,           0.0082758,            0.012777,             0.96406,              0.9582,             0.97986,             0.78878,            0.015089,           0.0024546,           0.0056504,            0.005446,            0.005446,            0.005446
                  25,            0.023984,           0.0082804,            0.012523,             0.96586,              0.9553,             0.98077,              0.7863,            0.015013,           0.0024512,           0.0053029,            0.005248,            0.005248,            0.005248
                  26,            0.023697,           0.0082857,            0.012607,             0.96546,             0.95773,             0.98126,             0.78753,            0.014956,           0.0024439,           0.0050126,             0.00505,             0.00505,             0.00505
                  27,            0.023776,           0.0081975,            0.012169,             0.96534,              0.9584,             0.98135,             0.78843,            0.014869,           0.0024341,           0.0051345,            0.004852,            0.004852,            0.004852
                  28,            0.023315,           0.0081006,             0.01187,             0.96483,             0.96058,             0.98136,             0.78896,            0.014788,           0.0024193,           0.0053512,            0.004654,            0.004654,            0.004654
                  29,            0.023256,           0.0081679,            0.011848,             0.96935,             0.95348,             0.98138,             0.78888,            0.014772,           0.0024228,           0.0054098,            0.004456,            0.004456,            0.004456
                  30,            0.023151,            0.008093,            0.011492,             0.96293,             0.96039,             0.98138,             0.78932,            0.014743,           0.0024181,           0.0054004,            0.004258,            0.004258,            0.004258
                  31,             0.02283,           0.0080784,            0.011383,             0.96613,             0.95773,              0.9813,             0.79123,            0.014687,           0.0024128,           0.0053727,             0.00406,             0.00406,             0.00406
                  32,            0.022685,           0.0079884,            0.011116,             0.96989,             0.95662,             0.98151,             0.79186,            0.014657,            0.002407,           0.0053315,            0.003862,            0.003862,            0.003862
                  33,            0.022423,           0.0079387,            0.010749,             0.97175,             0.95651,             0.98158,             0.79222,            0.014638,           0.0024033,            0.005296,            0.003664,            0.003664,            0.003664
                  34,             0.02219,            0.007955,            0.010418,             0.97398,             0.95522,              0.9816,             0.79308,            0.014605,           0.0023987,           0.0052636,            0.003466,            0.003466,            0.003466
                  35,            0.021912,           0.0079161,            0.010011,             0.97389,             0.95581,             0.98192,             0.79302,            0.014554,           0.0023935,           0.0051896,            0.003268,            0.003268,            0.003268
                  36,            0.021937,           0.0078715,           0.0099748,             0.97455,             0.95641,             0.98189,             0.79329,             0.01452,            0.002389,           0.0051711,             0.00307,             0.00307,             0.00307
                  37,            0.021573,           0.0078046,           0.0097868,             0.97483,             0.95596,              0.9819,             0.79355,            0.014481,           0.0023836,           0.0051707,            0.002872,            0.002872,            0.002872
                  38,            0.021263,           0.0077993,            0.009463,             0.97379,              0.9579,             0.98203,              0.7948,            0.014448,           0.0023774,           0.0051242,            0.002674,            0.002674,            0.002674
                  39,            0.021191,           0.0077771,           0.0091184,             0.97385,             0.95929,             0.98228,             0.79452,            0.014417,           0.0023724,           0.0050934,            0.002476,            0.002476,            0.002476
                  40,            0.020915,           0.0076693,           0.0089514,             0.97403,             0.95977,             0.98229,              0.7954,            0.014389,           0.0023673,           0.0050797,            0.002278,            0.002278,            0.002278
                  41,            0.020583,           0.0076171,           0.0089131,             0.97432,             0.95996,             0.98224,              0.7958,            0.014365,            0.002362,           0.0050534,             0.00208,             0.00208,             0.00208
                  42,            0.020199,           0.0075703,           0.0083254,             0.97397,             0.95992,             0.98215,             0.79642,            0.014338,           0.0023576,           0.0050558,            0.001882,            0.001882,            0.001882
                  43,            0.019951,           0.0075288,           0.0082271,             0.97476,             0.95892,             0.98212,             0.79698,            0.014308,           0.0023526,           0.0050675,            0.001684,            0.001684,            0.001684
                  44,            0.019708,           0.0074749,           0.0078134,             0.97521,             0.95926,             0.98204,             0.79672,            0.014286,           0.0023482,           0.0050735,            0.001486,            0.001486,            0.001486
                  45,            0.019447,           0.0074812,           0.0076322,             0.97538,              0.9596,             0.98193,             0.79688,            0.014263,            0.002344,           0.0050741,            0.001288,            0.001288,            0.001288
                  46,            0.019029,           0.0073905,           0.0073113,             0.97624,             0.95944,             0.98197,             0.79717,            0.014241,           0.0023395,           0.0050973,             0.00109,             0.00109,             0.00109
                  47,            0.018853,           0.0073093,           0.0070986,             0.97634,             0.95941,             0.98206,              0.7973,            0.014223,           0.0023352,           0.0051008,            0.000892,            0.000892,            0.000892
                  48,            0.018327,           0.0072674,           0.0068493,             0.97648,             0.95936,             0.98203,             0.79756,            0.014202,           0.0023313,           0.0051025,            0.000694,            0.000694,            0.000694
                  49,            0.018181,           0.0072286,           0.0066601,             0.97693,             0.95931,             0.98212,             0.79779,            0.014193,           0.0023277,           0.0050966,            0.000496,            0.000496,            0.000496
